Applid,Date,ResTime,ColTime,NOSPACETms,PutqIntraReqs,GetqIntraReqs,IntraBuffers,PeakIntraBuffData,BufferWait,StringNum,StringWait
BP16PAAF,01/11/2016,06:00:00,08:00:00,0,791,0,500,2,0,255,0
BP16PAAF,01/11/2016,08:00:00,10:00:00,0,6481,0,500,2,0,255,0
BP16PAAF,01/11/2016,10:00:00,12:00:00,0,12503,0,500,2,0,255,0
BP16PAAF,01/11/2016,12:00:00,14:00:00,0,10870,0,500,2,0,255,0
BP16PAAF,01/11/2016,14:00:00,16:00:00,0,11502,0,500,2,0,255,0
BP16PAAF,01/11/2016,16:00:00,18:00:00,0,10060,0,500,2,0,255,0
BP16PAAF,01/11/2016,18:00:00,20:00:00,0,7269,0,500,2,0,255,0
BP16PAAF,01/11/2016,20:00:00,22:00:00,0,6315,0,500,2,0,255,0
BP16PAA2,01/11/2016,06:00:00,08:00:00,0,755,0,500,2,0,255,0
BP16PAA2,01/11/2016,08:00:00,10:00:00,0,6645,0,500,2,0,255,0
BP16PAA2,01/11/2016,10:00:00,12:00:00,0,12482,0,500,2,0,255,0
BP16PAA2,01/11/2016,12:00:00,14:00:00,0,10873,0,500,2,0,255,0
BP16PAA2,01/11/2016,14:00:00,16:00:00,0,11378,0,500,2,0,255,0
BP16PAA2,01/11/2016,16:00:00,18:00:00,0,10309,0,500,2,0,255,0
BP16PAA2,01/11/2016,18:00:00,20:00:00,0,7268,0,500,2,0,255,0
BP16PAA2,01/11/2016,20:00:00,22:00:00,0,6109,0,500,2,0,255,0
BP16PAA6,01/11/2016,06:00:00,08:00:00,0,755,0,500,2,0,255,0
BP16PAA6,01/11/2016,08:00:00,10:00:00,0,6472,0,500,2,0,255,0
BP16PAA6,01/11/2016,10:00:00,12:00:00,0,12179,0,500,2,0,255,0
BP16PAA6,01/11/2016,12:00:00,14:00:00,0,10892,0,500,2,0,255,0
BP16PAA6,01/11/2016,14:00:00,16:00:00,0,11429,0,500,2,0,255,0
BP16PAA6,01/11/2016,16:00:00,18:00:00,0,10070,0,500,2,0,255,0
BP16PAA6,01/11/2016,18:00:00,20:00:00,0,7246,0,500,2,0,255,0
