Applid,Date,ResTime,ColTime,ASCPU,ASSRB,ICV,ICVR,QRCPU,QRDsp,QRCPUUtilRatio%,QRDispUtilRatio%,QRDispRatio%,L8CPU,L8Dsp,L8CPUUtilRatio%,L8DispUtilRatio%,L8DispRatio%,ASTCBUtilRatio%,ASSRBCPUUtilRatio%,CPUPerUsrTran,PkOpTCB,MAXOpTCB,OpTCBRatio%
BP17PAAC,01/11/2016,10:00:00,12:00:00,00:23:22.010692,00:00:04.463446,10000,500,00:02:18.814746,00:02:47.853888,1.93,2.33,82.70,00:20:32.136185,01:04:38.372199,17.11,53.87,31.77,19.47,0.06,0.006137,11,232,4.74
BP17PAAC,01/11/2016,12:00:00,14:00:00,00:20:14.309153,00:00:03.729607,10000,500,00:01:48.716605,00:02:12.376614,1.51,1.84,82.13,00:18:04.077080,00:51:46.526254,15.06,43.15,34.90,16.87,0.05,0.006675,12,232,5.17
BP17PAAC,01/11/2016,14:00:00,16:00:00,00:22:03.018859,00:00:04.150920,10000,500,00:02:16.740483,00:02:43.928564,1.90,2.28,83.41,00:19:19.772269,00:58:23.382675,16.11,48.66,33.10,18.38,0.06,0.006018,16,232,6.90
BP17PAAC,01/11/2016,16:00:00,18:00:00,00:23:36.700534,00:00:03.888629,10000,500,00:02:12.547597,00:02:42.386720,1.84,2.26,81.62,00:20:59.889015,00:59:21.781600,17.50,49.47,35.37,19.68,0.05,0.007201,12,232,5.17
BP17PAAC,01/11/2016,18:00:00,20:00:00,00:19:36.142617,00:00:02.726209,10000,500,00:01:18.761957,00:01:36.119427,1.09,1.33,81.94,00:18:01.845718,00:44:10.617975,15.03,36.81,40.81,16.34,0.04,0.009822,12,232,5.17
BP17PAAC,01/11/2016,20:00:00,22:00:00,00:19:21.776792,00:00:02.194991,10000,500,00:00:59.365927,00:01:18.939065,0.82,1.10,75.20,00:18:09.741866,00:49:34.579464,15.14,41.31,36.64,16.14,0.03,0.012285,10,232,4.31
BP17PAAG,01/11/2016,06:00:00,08:00:00,00:01:20.791497,00:00:00.375550,10000,500,00:00:09.217409,00:00:11.190790,0.13,0.16,82.37,00:01:09.723112,00:03:34.574931,0.97,2.98,32.49,1.12,0.01,0.005682,5,232,2.16
BP17PAAG,01/11/2016,08:00:00,10:00:00,00:12:41.774502,00:00:02.546202,10000,500,00:01:22.095077,00:01:39.559970,1.14,1.38,82.46,00:11:03.638937,00:33:08.358801,9.22,27.62,33.38,10.58,0.04,0.005620,10,232,4.31
BP17PAAG,01/11/2016,10:00:00,12:00:00,00:23:12.272245,00:00:04.337501,10000,500,00:02:19.360927,00:02:46.687080,1.94,2.32,83.61,00:20:24.033486,00:59:48.650866,17.00,49.84,34.11,19.34,0.06,0.006091,11,232,4.74
BP17PAAG,01/11/2016,12:00:00,14:00:00,00:20:36.559215,00:00:03.650211,10000,500,00:01:47.589938,00:02:11.079081,1.49,1.82,82.08,00:18:27.642632,00:47:29.357275,15.38,39.57,38.87,17.17,0.05,0.006827,10,232,4.31
BP17PAAG,01/11/2016,14:00:00,16:00:00,00:21:54.035461,00:00:04.053464,10000,500,00:02:15.555242,00:02:42.849254,1.88,2.26,83.24,00:19:12.238878,00:55:17.962796,16.00,46.08,34.73,18.25,0.06,0.005984,12,232,5.17
BP17PAAG,01/11/2016,16:00:00,18:00:00,00:24:01.300789,00:00:03.946217,10000,500,00:02:11.786397,00:02:41.484111,1.83,2.24,81.61,00:21:24.914086,00:56:36.344781,17.85,47.17,37.83,20.02,0.05,0.007281,10,232,4.31
BP17PAAG,01/11/2016,18:00:00,20:00:00,00:19:55.526233,00:00:02.695519,10000,500,00:01:19.535692,00:01:36.606980,1.10,1.34,82.33,00:18:20.366854,00:41:47.399575,15.28,34.82,43.88,16.60,0.04,0.009835,9,232,3.88
BP17PAAG,01/11/2016,20:00:00,22:00:00,00:19:31.940330,00:00:02.118832,10000,500,00:00:59.056708,00:01:18.644908,0.82,1.09,75.09,00:18:20.328936,00:50:32.119813,15.28,42.11,36.29,16.28,0.03,0.012420,9,232,3.88
BP17PAA3,01/11/2016,06:00:00,08:00:00,00:01:17.943994,00:00:00.347887,10000,500,00:00:09.138088,00:00:11.061522,0.13,0.15,82.61,00:01:06.953668,00:03:24.991764,0.93,2.85,32.66,1.08,0.00,0.005600,6,232,2.59
BP17PAA3,01/11/2016,08:00:00,10:00:00,00:12:48.325476,00:00:02.610429,10000,500,00:01:22.173117,00:01:39.680704,1.14,1.38,82.44,00:11:09.969298,00:32:56.001206,9.31,27.44,33.91,10.67,0.04,0.005661,9,232,3.88
BP17PAA3,01/11/2016,10:00:00,12:00:00,00:23:10.322582,00:00:04.451910,10000,500,00:02:20.103943,00:02:47.916430,1.95,2.33,83.44,00:20:22.719554,01:03:35.607449,16.98,52.99,32.05,19.31,0.06,0.006078,13,232,5.60
BP17PAA3,01/11/2016,12:00:00,14:00:00,00:20:05.063107,00:00:03.902360,10000,500,00:01:47.667861,00:02:10.973525,1.50,1.82,82.21,00:17:55.962158,00:48:35.366089,14.94,40.49,36.91,16.74,0.05,0.006704,11,232,4.74
BP17PAA3,01/11/2016,14:00:00,16:00:00,00:21:49.244022,00:00:04.103644,10000,500,00:02:15.833243,00:02:42.688849,1.89,2.26,83.49,00:19:06.867536,00:59:11.581118,15.93,49.33,32.29,18.18,0.06,0.005961,13,232,5.60
BP17PAA3,01/11/2016,16:00:00,18:00:00,00:23:19.094787,00:00:03.881210,10000,500,00:02:12.415071,00:02:41.736135,1.84,2.25,81.87,00:20:41.904681,00:52:39.462082,17.25,43.88,39.31,19.43,0.05,0.007101,10,232,4.31
BP17PAA3,01/11/2016,18:00:00,20:00:00,00:20:07.221208,00:00:02.668729,10000,500,00:01:19.654841,00:01:37.528031,1.11,1.35,81.67,00:18:31.879205,00:43:18.583665,15.44,36.09,42.79,16.77,0.04,0.010023,10,232,4.31
BP17PAA3,01/11/2016,20:00:00,22:00:00,00:18:44.517521,00:00:02.159937,10000,500,00:00:58.968032,00:01:17.849507,0.82,1.08,75.75,00:17:32.972022,00:56:30.335953,14.62,47.09,31.06,15.62,0.03,0.011959,10,232,4.31
BP17PAA7,01/11/2016,06:00:00,08:00:00,00:01:17.935934,00:00:00.349982,10000,500,00:00:08.990672,00:00:10.822063,0.12,0.15,83.08,00:01:07.123350,00:03:20.566444,0.93,2.79,33.47,1.08,0.00,0.005732,6,232,2.59
BP17PAA7,01/11/2016,08:00:00,10:00:00,00:12:34.264819,00:00:02.590860,10000,500,00:01:22.611669,00:01:40.044395,1.15,1.39,82.58,00:10:55.592941,00:32:52.127036,9.11,27.39,33.24,10.48,0.04,0.005534,9,232,3.88
BP17PAA7,01/11/2016,10:00:00,12:00:00,00:23:10.018947,00:00:04.409223,10000,500,00:02:18.338649,00:02:45.760700,1.92,2.30,83.46,00:20:24.417803,00:57:45.701817,17.01,48.13,35.33,19.31,0.06,0.006062,13,232,5.60
BP17PAA7,01/11/2016,12:00:00,14:00:00,00:20:19.493430,00:00:03.628117,10000,500,00:01:47.773376,00:02:10.856358,1.50,1.82,82.36,00:18:10.506211,00:51:24.820133,15.15,42.84,35.35,16.94,0.05,0.006755,16,232,6.90
BP17PAA7,01/11/2016,14:00:00,16:00:00,00:21:46.737083,00:00:04.187682,10000,500,00:02:15.008737,00:02:41.885012,1.88,2.25,83.40,00:19:05.496557,01:01:11.519124,15.91,50.99,31.20,18.15,0.06,0.005973,14,232,6.03
BP17PAA7,01/11/2016,16:00:00,18:00:00,00:24:12.949465,00:00:03.910041,10000,500,00:02:11.890868,00:02:41.879660,1.83,2.25,81.47,00:21:36.686285,00:57:09.985651,18.01,47.64,37.80,20.18,0.05,0.007383,12,232,5.17
BP17PAA7,01/11/2016,18:00:00,20:00:00,00:20:48.918356,00:00:02.712671,10000,500,00:01:19.832645,00:01:37.138165,1.11,1.35,82.18,00:19:13.541952,00:43:13.863647,16.02,36.03,44.47,17.35,0.04,0.010356,9,232,3.88
BP17PAA7,01/11/2016,20:00:00,22:00:00,00:19:29.131132,00:00:02.171259,10000,500,00:00:58.847746,00:01:18.470849,0.82,1.09,74.99,00:18:17.803462,00:48:47.934190,15.25,40.67,37.49,16.24,0.03,0.012441,9,232,3.88
BP18PAAD,01/11/2016,06:00:00,08:00:00,00:01:17.430812,00:00:00.355929,10000,500,00:00:09.053055,00:00:10.939985,0.13,0.15,82.75,00:01:06.539551,00:03:31.149366,0.92,2.93,31.51,1.08,0.00,0.005486,7,232,3.02
BP18PAAD,01/11/2016,08:00:00,10:00:00,00:12:48.725845,00:00:02.608722,10000,500,00:01:23.374315,00:01:40.934252,1.16,1.40,82.60,00:11:09.344446,00:36:04.226606,9.30,30.06,30.93,10.68,0.04,0.005645,10,232,4.31
BP18PAAD,01/11/2016,10:00:00,12:00:00,00:23:10.439997,00:00:04.593074,10000,500,00:02:21.548609,00:02:49.316194,1.97,2.35,83.60,00:20:21.825974,01:09:45.424250,16.97,58.13,29.19,19.31,0.06,0.006084,13,232,5.60
BP18PAAD,01/11/2016,12:00:00,14:00:00,00:20:02.925172,00:00:03.617091,10000,500,00:01:47.894207,00:02:11.687439,1.50,1.83,81.93,00:17:53.923268,00:49:12.225081,14.92,41.00,36.38,16.71,0.05,0.006637,11,232,4.74
BP18PAAD,01/11/2016,14:00:00,16:00:00,00:21:34.002204,00:00:04.070601,10000,500,00:02:16.528187,00:02:43.648645,1.90,2.27,83.43,00:18:51.259394,00:53:39.129729,15.71,44.71,35.14,17.97,0.06,0.005908,11,232,4.74
BP18PAAD,01/11/2016,16:00:00,18:00:00,00:23:11.030686,00:00:03.887253,10000,500,00:02:11.747924,00:02:36.714979,1.83,2.18,84.07,00:20:35.034456,00:56:26.625187,17.15,47.04,36.47,19.32,0.05,0.007044,11,232,4.74
BP18PAAD,01/11/2016,18:00:00,20:00:00,00:19:53.327342,00:00:02.646637,10000,500,00:01:18.838717,00:01:36.998060,1.09,1.35,81.28,00:18:18.981812,00:41:57.479635,15.26,34.96,43.65,16.57,0.04,0.009857,11,232,4.74
BP18PAAD,01/11/2016,20:00:00,22:00:00,00:18:15.793284,00:00:02.138057,10000,500,00:00:58.308564,00:01:15.070386,0.81,1.04,77.67,00:17:04.812927,00:48:24.458271,14.23,40.34,35.28,15.22,0.03,0.011665,9,232,3.88
BP18PAAH,01/11/2016,06:00:00,08:00:00,00:01:17.087075,00:00:00.344680,10000,500,00:00:08.722614,00:00:10.696239,0.12,0.15,81.55,00:01:06.601162,00:03:31.584236,0.93,2.94,31.48,1.07,0.00,0.005643,6,232,2.59
BP18PAAH,01/11/2016,08:00:00,10:00:00,00:12:53.244427,00:00:02.542823,10000,500,00:01:22.608134,00:01:40.340633,1.15,1.39,82.33,00:11:14.488787,00:34:37.174317,9.37,28.85,32.47,10.74,0.04,0.005678,10,232,4.31
BP18PAAH,01/11/2016,10:00:00,12:00:00,00:23:18.850930,00:00:04.393626,10000,500,00:02:19.350514,00:02:46.873833,1.94,2.32,83.51,00:20:29.805129,01:02:35.012830,17.08,52.15,32.75,19.43,0.06,0.006098,12,232,5.17
BP18PAAH,01/11/2016,12:00:00,14:00:00,00:19:45.098077,00:00:03.623351,10000,500,00:01:47.116347,00:02:10.752759,1.49,1.82,81.92,00:17:36.888664,00:51:11.022621,14.68,42.65,34.41,16.46,0.05,0.006573,14,232,6.03
BP18PAAH,01/11/2016,14:00:00,16:00:00,00:21:52.564970,00:00:04.146593,10000,500,00:02:15.887369,00:02:43.142087,1.89,2.27,83.29,00:19:10.175856,00:53:00.284536,15.97,44.17,36.17,18.23,0.06,0.005940,12,232,5.17
BP18PAAH,01/11/2016,16:00:00,18:00:00,00:23:56.335461,00:00:03.768082,10000,500,00:02:11.469957,00:02:36.986635,1.83,2.18,83.75,00:21:20.622807,00:53:10.885088,17.79,44.32,40.13,19.95,0.05,0.007314,11,232,4.74
BP18PAAH,01/11/2016,18:00:00,20:00:00,00:20:07.435706,00:00:02.679297,10000,500,00:01:19.444405,00:01:37.670444,1.10,1.36,81.34,00:18:32.550197,00:43:12.690543,15.45,36.01,42.91,16.77,0.04,0.010050,9,232,3.88
BP18PAAH,01/11/2016,20:00:00,22:00:00,00:19:53.076948,00:00:02.145923,10000,500,00:00:58.480969,00:01:15.639485,0.81,1.05,77.32,00:18:42.265999,00:48:05.195932,15.59,40.07,38.90,16.57,0.03,0.012716,10,232,4.31
BP18PAA4,01/11/2016,06:00:00,08:00:00,00:01:16.562924,00:00:00.340246,10000,500,00:00:08.884434,00:00:10.769830,0.12,0.15,82.49,00:01:05.874458,00:03:27.096879,0.91,2.88,31.81,1.06,0.00,0.005517,6,232,2.59
BP18PAA4,01/11/2016,08:00:00,10:00:00,00:12:56.593111,00:00:02.579678,10000,500,00:01:22.830341,00:01:40.429458,1.15,1.39,82.48,00:11:17.494133,00:34:14.424501,9.41,28.53,32.98,10.79,0.04,0.005711,10,232,4.31
BP18PAA4,01/11/2016,10:00:00,12:00:00,00:23:03.763301,00:00:04.557277,10000,500,00:02:18.807182,00:02:46.508992,1.93,2.31,83.36,00:20:17.853591,00:59:46.703141,16.91,49.82,33.95,19.22,0.06,0.006053,11,232,4.74
BP18PAA4,01/11/2016,12:00:00,14:00:00,00:19:55.776593,00:00:03.625622,10000,500,00:01:46.233614,00:02:09.407233,1.48,1.80,82.09,00:17:48.357235,00:51:17.876690,14.84,42.75,34.71,16.61,0.05,0.006654,15,232,6.47
BP18PAA4,01/11/2016,14:00:00,16:00:00,00:21:35.339989,00:00:04.062828,10000,500,00:02:14.669805,00:02:41.224664,1.87,2.24,83.53,00:18:54.539087,00:53:38.545022,15.76,44.70,35.25,17.99,0.06,0.005920,11,232,4.74
BP18PAA4,01/11/2016,16:00:00,18:00:00,00:23:01.698800,00:00:03.963469,10000,500,00:02:11.815012,00:02:37.075556,1.83,2.18,83.92,00:20:25.475142,00:51:51.687340,17.02,43.22,39.38,19.19,0.06,0.006993,17,232,7.33
BP18PAA4,01/11/2016,18:00:00,20:00:00,00:19:45.188137,00:00:02.632671,10000,500,00:01:19.761999,00:01:37.898082,1.11,1.36,81.47,00:18:09.955477,00:41:58.392202,15.14,34.98,43.28,16.46,0.04,0.009859,13,232,5.60
BP18PAA4,01/11/2016,20:00:00,22:00:00,00:19:15.030169,00:00:02.158840,10000,500,00:00:58.628770,00:01:15.193669,0.81,1.04,77.97,00:18:03.852026,00:47:09.347081,15.05,39.30,38.31,16.04,0.03,0.012219,8,232,3.45
BP18PAA8,01/11/2016,06:00:00,08:00:00,00:01:16.311434,00:00:00.334227,10000,500,00:00:08.753023,00:00:10.652876,0.12,0.15,82.17,00:01:05.785676,00:03:26.803266,0.91,2.87,31.81,1.06,0.00,0.005601,6,232,2.59
BP18PAA8,01/11/2016,08:00:00,10:00:00,00:12:51.512390,00:00:02.552253,10000,500,00:01:22.581736,00:01:39.906271,1.15,1.39,82.66,00:11:12.917137,00:36:50.466445,9.35,30.70,30.44,10.72,0.04,0.005680,12,232,5.17
BP18PAA8,01/11/2016,10:00:00,12:00:00,00:23:05.174027,00:00:04.497837,10000,500,00:02:20.208463,00:02:47.852308,1.95,2.33,83.53,00:20:17.753166,01:07:55.433412,16.91,56.60,29.88,19.24,0.06,0.006060,15,232,6.47
BP18PAA8,01/11/2016,12:00:00,14:00:00,00:19:52.293091,00:00:03.619275,10000,500,00:01:47.571625,00:02:10.933373,1.49,1.82,82.16,00:17:43.689491,00:50:57.408066,14.77,42.46,34.79,16.56,0.05,0.006623,14,232,6.03
BP18PAA8,01/11/2016,14:00:00,16:00:00,00:21:44.775443,00:00:04.151885,10000,500,00:02:15.379495,00:02:41.966162,1.88,2.25,83.59,00:19:03.318873,00:54:26.454711,15.88,45.37,35.00,18.12,0.06,0.005949,12,232,5.17
BP18PAA8,01/11/2016,16:00:00,18:00:00,00:24:17.824240,00:00:03.858748,10000,500,00:02:11.019877,00:02:37.313656,1.82,2.18,83.29,00:21:42.383831,00:54:57.880720,18.09,45.80,39.49,20.25,0.05,0.007396,10,232,4.31
BP18PAA8,01/11/2016,18:00:00,20:00:00,00:20:33.984273,00:00:02.614769,10000,500,00:01:19.416016,00:01:37.796324,1.10,1.36,81.21,00:18:59.211502,00:43:11.392593,15.82,35.99,43.96,17.14,0.04,0.010232,9,232,3.88
BP18PAA8,01/11/2016,20:00:00,22:00:00,00:20:00.091630,00:00:02.170635,10000,500,00:00:58.344998,00:01:15.204128,0.81,1.04,77.58,00:18:48.339240,00:48:45.852539,15.67,40.64,38.56,16.67,0.03,0.012684,8,232,3.45
