Applid,Date,ResTime,ColTime,ASCPU,ASSRB,ICV,ICVR,QRCPU,QRDsp,QRCPUUtilRatio%,QRDispUtilRatio%,QRDispRatio%,L8CPU,L8Dsp,L8CPUUtilRatio%,L8DispUtilRatio%,L8DispRatio%,ASTCBUtilRatio%,ASSRBCPUUtilRatio%,CPUPerUsrTran,PkOpTCB,MAXOpTCB,OpTCBRatio%
AP16POA2,01/11/2016,20:00:00,22:00:00,00:00:07.513781,00:00:00.109899,10000,500,00:00:02.882933,00:00:03.525641,0.04,0.05,81.77,00:00:04.552989,00:00:06.254602,0.06,0.09,72.79,0.10,0.00,0.040988,6,432,1.39
AP16POA4,01/11/2016,06:00:00,08:00:00,00:00:02.723722,00:00:00.097146,10000,500,00:00:02.436215,00:00:03.056161,0.03,0.04,79.71,00:00:00.241272,00:00:00.374012,0.00,0.01,64.51,0.04,0.00,0.108495,3,432,0.69
AP16POA4,01/11/2016,08:00:00,10:00:00,00:00:38.238610,00:00:00.127509,10000,500,00:00:04.665480,00:00:05.797870,0.06,0.08,80.47,00:00:33.234816,00:00:56.421839,0.46,0.78,58.90,0.53,0.00,0.017911,9,432,2.08
AP16POA4,01/11/2016,10:00:00,12:00:00,00:00:56.126448,00:00:00.270209,10000,500,00:00:08.002443,00:00:09.995608,0.11,0.14,80.06,00:00:47.357576,00:01:18.591584,0.66,1.09,60.26,0.78,0.00,0.011246,9,432,2.08
AP16POA4,01/11/2016,12:00:00,14:00:00,00:00:35.003157,00:00:00.135599,10000,500,00:00:06.290568,00:00:07.977569,0.09,0.11,78.85,00:00:28.212614,00:00:49.162002,0.39,0.68,57.39,0.49,0.00,0.010458,9,432,2.08
AP16POA4,01/11/2016,14:00:00,16:00:00,00:00:48.775520,00:00:00.146973,10000,500,00:00:07.313384,00:00:09.093403,0.10,0.13,80.43,00:00:40.767819,00:01:07.936438,0.57,0.94,60.01,0.68,0.00,0.010864,9,432,2.08
AP16POA4,01/11/2016,16:00:00,18:00:00,00:00:49.983605,00:00:00.168469,10000,500,00:00:07.456737,00:00:09.488068,0.10,0.13,78.59,00:00:41.889773,00:01:31.810722,0.58,1.28,45.63,0.69,0.00,0.012307,9,432,2.08
AP16POA4,01/11/2016,18:00:00,20:00:00,00:00:30.649330,00:00:00.128456,10000,500,00:00:04.277886,00:00:05.655806,0.06,0.08,75.64,00:00:26.198937,00:00:57.633675,0.36,0.80,45.46,0.43,0.00,0.031152,9,432,2.08
AP16POA4,01/11/2016,20:00:00,22:00:00,00:00:10.382503,00:00:00.124360,10000,500,00:00:02.965757,00:00:03.970292,0.04,0.06,74.70,00:00:07.348107,00:00:10.039187,0.10,0.14,73.19,0.14,0.00,0.056794,8,432,1.85
BP15PAAA,01/11/2016,06:00:00,08:00:00,00:01:25.145149,00:00:00.386460,10000,500,00:00:10.297194,00:00:12.189443,0.14,0.17,84.48,00:01:12.899477,00:03:45.679909,1.01,3.13,32.30,1.18,0.01,0.006187,6,232,2.59
BP15PAAA,01/11/2016,08:00:00,10:00:00,00:13:16.749125,00:00:02.680100,10000,500,00:01:41.944488,00:02:01.373989,1.42,1.69,83.99,00:11:18.126023,00:40:34.857036,9.42,33.82,27.85,11.07,0.04,0.005863,18,232,7.76
BP15PAAA,01/11/2016,10:00:00,12:00:00,00:24:15.401333,00:00:04.580325,10000,500,00:02:39.084736,00:03:09.925281,2.21,2.64,83.76,00:21:08.219767,01:08:04.029703,17.61,56.72,31.05,20.21,0.06,0.006384,16,232,6.90
BP15PAAA,01/11/2016,12:00:00,14:00:00,00:21:07.659510,00:00:03.872650,10000,500,00:01:54.460216,00:02:22.001837,1.59,1.97,80.60,00:18:50.556191,00:52:45.351280,15.70,43.96,35.72,17.61,0.05,0.006935,12,232,5.17
BP15PAAA,01/11/2016,14:00:00,16:00:00,00:22:40.839542,00:00:04.324702,10000,500,00:02:21.592291,00:02:50.182008,1.97,2.36,83.20,00:19:51.574986,00:57:49.793083,16.55,48.19,34.34,18.90,0.06,0.006080,13,232,5.60
BP15PAAA,01/11/2016,16:00:00,18:00:00,00:24:04.254432,00:00:04.036444,10000,500,00:02:16.901472,00:02:43.197761,1.90,2.27,83.89,00:21:22.005654,00:58:31.816682,17.81,48.78,36.51,20.06,0.06,0.007316,13,232,5.60
BP15PAAA,01/11/2016,18:00:00,20:00:00,00:20:24.347502,00:00:02.852454,10000,500,00:01:22.843821,00:01:45.271395,1.15,1.46,78.70,00:18:45.547289,00:44:49.596270,15.63,37.36,41.85,17.00,0.04,0.010148,10,232,4.31
