Applid,Date,ResTime,ColTime,DB2EntryName,AccountRec,ThreadWait,ThreadPrty,CallCount,TwoPCommitCount,AbortCount,OnePCommitCount,ThreadCreate,ThreadReuse,ThreadTerms,ThreadLimit,ThreadHWM,PthreadLimit,PthreadHWM,Readyq,Reuselm,CommitRatio%,ThreadRatio%,PthreadRatio%
BP15PAAA,01/11/2016,10:00:00,12:00:00,BPA0ENRY,TASK,POOL,EQUAL,7222051,23006,5130,215051,2503,243062,2501,100,11,30,11,0,2378,97.89,11.0,36.67
BP15PAAA,01/11/2016,12:00:00,14:00:00,BPA0ENRY,TASK,POOL,EQUAL,6793383,20765,3974,169005,2005,193639,2007,100,9,30,9,0,1897,97.95,9.0,30.0
BP15PAAA,01/11/2016,14:00:00,16:00:00,BPA0ENRY,TASK,POOL,EQUAL,7255908,21486,4701,207295,2396,233369,2394,100,11,30,11,0,2285,97.99,11.0,36.67
BP15PAAA,01/11/2016,16:00:00,18:00:00,BPA0ENRY,TASK,POOL,EQUAL,7749536,18815,4572,185904,2164,209175,2165,100,11,30,11,0,2049,97.82,11.0,36.67
BP15PAAA,01/11/2016,18:00:00,20:00:00,BPA0ENRY,TASK,POOL,EQUAL,6897988,12652,3023,113125,1352,128695,1352,100,7,30,7,0,1247,97.65,7.0,23.33
BP15PAAA,01/11/2016,20:00:00,22:00:00,BPA0ENRY,TASK,POOL,EQUAL,5980866,11276,2099,88928,1087,102206,1087,100,8,30,8,0,990,97.95,8.0,26.67
BP15PAAE,01/11/2016,06:00:00,08:00:00,BPA0ENRY,TASK,POOL,EQUAL,366634,1298,378,13297,196,14910,194,100,4,30,4,0,133,97.48,4.0,13.33
BP15PAAE,01/11/2016,08:00:00,10:00:00,BPA0ENRY,TASK,POOL,EQUAL,3816460,12224,3325,128566,1495,144022,1493,100,8,30,8,0,1402,97.69,8.0,26.67
BP15PAAE,01/11/2016,10:00:00,12:00:00,BPA0ENRY,TASK,POOL,EQUAL,7463203,23142,5055,216129,2517,244199,2517,100,10,30,10,0,2390,97.93,10.0,33.33
BP15PAAE,01/11/2016,12:00:00,14:00:00,BPA0ENRY,TASK,POOL,EQUAL,6777634,20705,3987,168817,1994,193400,1995,100,9,30,9,0,1886,97.94,9.0,30.0
BP15PAAE,01/11/2016,14:00:00,16:00:00,BPA0ENRY,TASK,POOL,EQUAL,7407381,21459,4640,207041,2406,233012,2405,100,13,30,13,0,2277,98.01,13.0,43.33
BP15PAAE,01/11/2016,16:00:00,18:00:00,BPA0ENRY,TASK,POOL,EQUAL,7808331,18654,4615,185533,2158,208696,2159,100,12,30,12,0,2053,97.79,12.0,40.0
BP15PAAE,01/11/2016,18:00:00,20:00:00,BPA0ENRY,TASK,POOL,EQUAL,6930810,12835,3037,113054,1352,128830,1352,100,10,30,10,0,1255,97.64,10.0,33.33
BP15PAAE,01/11/2016,20:00:00,22:00:00,BPA0ENRY,TASK,POOL,EQUAL,5979071,10935,2064,87597,1071,100490,1071,100,7,30,7,0,966,97.95,7.0,23.33
BP15PAA1,01/11/2016,06:00:00,08:00:00,BPA0ENRY,TASK,POOL,EQUAL,374276,1262,327,13415,185,14955,184,100,4,30,4,0,136,97.82,4.0,13.33
BP15PAA1,01/11/2016,08:00:00,10:00:00,BPA0ENRY,TASK,POOL,EQUAL,3798923,12334,3373,127989,1502,143600,1499,100,8,30,8,0,1405,97.65,8.0,26.67
BP15PAA1,01/11/2016,10:00:00,12:00:00,BPA0ENRY,TASK,POOL,EQUAL,7177072,23376,4905,216372,2511,244534,2511,100,10,30,10,0,2393,98.0,10.0,33.33
BP15PAA1,01/11/2016,12:00:00,14:00:00,BPA0ENRY,TASK,POOL,EQUAL,6961341,21067,4003,168455,2009,193410,2010,100,11,30,11,0,1892,97.93,11.0,36.67
BP15PAA1,01/11/2016,14:00:00,16:00:00,BPA0ENRY,TASK,POOL,EQUAL,7249749,21641,4567,206284,2407,232367,2407,100,9,30,9,0,2284,98.04,9.0,30.0
BP15PAA1,01/11/2016,16:00:00,18:00:00,BPA0ENRY,TASK,POOL,EQUAL,7854116,18785,4591,186177,2165,209442,2165,100,10,30,10,0,2054,97.81,10.0,33.33
BP15PAA1,01/11/2016,18:00:00,20:00:00,BPA0ENRY,TASK,POOL,EQUAL,7020381,12875,2972,112483,1356,128217,1354,100,9,30,9,0,1243,97.68,9.0,30.0
BP15PAA1,01/11/2016,20:00:00,22:00:00,BPA0ENRY,TASK,POOL,EQUAL,5940900,11101,2143,88332,1073,101484,1075,100,9,30,9,0,980,97.89,9.0,30.0
BP15PAA5,01/11/2016,06:00:00,08:00:00,BPA0ENRY,TASK,POOL,EQUAL,344522,1193,337,12994,186,14467,185,100,4,30,4,0,129,97.68,4.0,13.33
BP15PAA5,01/11/2016,08:00:00,10:00:00,BPA0ENRY,TASK,POOL,EQUAL,3809326,12347,3273,128390,1508,143906,1506,100,7,30,7,0,1404,97.73,7.0,23.33
BP15PAA5,01/11/2016,10:00:00,12:00:00,BPA0ENRY,TASK,POOL,EQUAL,7190126,23116,5066,215728,2514,243790,2512,100,19,30,19,0,2394,97.92,19.0,63.33
BP15PAA5,01/11/2016,12:00:00,14:00:00,BPA0ENRY,TASK,POOL,EQUAL,6898550,20200,4001,168651,2013,192726,2015,100,12,30,12,0,1887,97.93,12.0,40.0
BP15PAA5,01/11/2016,14:00:00,16:00:00,BPA0ENRY,TASK,POOL,EQUAL,7239679,21400,4690,206473,2407,232437,2406,100,11,30,11,0,2281,97.98,11.0,36.67
BP15PAA5,01/11/2016,16:00:00,18:00:00,BPA0ENRY,TASK,POOL,EQUAL,7719665,18536,4535,185821,2151,208787,2152,100,10,30,10,0,2047,97.83,10.0,33.33
BP15PAA5,01/11/2016,18:00:00,20:00:00,BPA0ENRY,TASK,POOL,EQUAL,7412197,13023,2988,113334,1354,129249,1355,100,8,30,8,0,1257,97.69,8.0,26.67
BP15PAA5,01/11/2016,20:00:00,22:00:00,BPA0ENRY,TASK,POOL,EQUAL,5781796,10750,2150,87814,1058,100633,1058,100,8,30,8,0,976,97.87,8.0,26.67
BP16PAAB,01/11/2016,06:00:00,08:00:00,BPA0ENRY,TASK,POOL,EQUAL,353869,1248,356,13098,178,14654,176,100,4,30,4,0,129,97.58,4.0,13.33
BP16PAAB,01/11/2016,08:00:00,10:00:00,BPA0ENRY,TASK,POOL,EQUAL,3792122,12238,3388,128408,1498,143940,1496,100,7,30,7,0,1405,97.65,7.0,23.33
BP16PAAB,01/11/2016,10:00:00,12:00:00,BPA0ENRY,TASK,POOL,EQUAL,7547529,23042,4948,215370,2503,243248,2503,100,10,30,10,0,2391,97.97,10.0,33.33
BP16PAAB,01/11/2016,12:00:00,14:00:00,BPA0ENRY,TASK,POOL,EQUAL,6918627,20651,4031,169768,2005,194344,2006,100,8,30,8,0,1898,97.93,8.0,26.67
BP16PAAB,01/11/2016,14:00:00,16:00:00,BPA0ENRY,TASK,POOL,EQUAL,7265994,21398,4660,207057,2414,232976,2413,100,12,30,12,0,2276,98.0,12.0,40.0
BP16PAAB,01/11/2016,16:00:00,18:00:00,BPA0ENRY,TASK,POOL,EQUAL,7787014,18977,4551,185470,2157,208879,2158,100,8,30,8,0,2037,97.82,8.0,26.67
BP16PAAB,01/11/2016,18:00:00,20:00:00,BPA0ENRY,TASK,POOL,EQUAL,7053225,13115,3070,113249,1352,129338,1351,100,9,30,9,0,1257,97.63,9.0,30.0
BP16PAAB,01/11/2016,20:00:00,22:00:00,BPA0ENRY,TASK,POOL,EQUAL,6072275,11030,2085,87650,1059,100678,1060,100,8,30,8,0,971,97.93,8.0,26.67
BP16PAAF,01/11/2016,06:00:00,08:00:00,BPA0ENRY,TASK,POOL,EQUAL,378981,1301,303,13455,192,15007,191,100,4,30,4,0,140,97.99,4.0,13.33
BP16PAAF,01/11/2016,08:00:00,10:00:00,BPA0ENRY,TASK,POOL,EQUAL,3717810,11945,3356,127736,1479,142950,1476,100,11,30,11,0,1392,97.65,11.0,36.67
BP16PAAF,01/11/2016,10:00:00,12:00:00,BPA0ENRY,TASK,POOL,EQUAL,7175003,23330,5046,216766,2524,245026,2524,100,15,30,15,0,2406,97.94,15.0,50.0
BP16PAAF,01/11/2016,12:00:00,14:00:00,BPA0ENRY,TASK,POOL,EQUAL,6634277,20675,4074,168224,1994,192863,1994,100,14,30,14,0,1886,97.89,14.0,46.67
BP16PAAF,01/11/2016,14:00:00,16:00:00,BPA0ENRY,TASK,POOL,EQUAL,7322100,21599,4700,207361,2417,233535,2417,100,13,30,13,0,2292,97.99,13.0,43.33
