Applid,Date,ResTime,ColTime,SysDumpTaken,SysDumpSupp,TranDumpTaken,TranDumpSupp
BP17PAAG,01/11/2016,20:00:00,22:00:00,0,0,0,0
BP17PAA3,01/11/2016,06:00:00,08:00:00,0,0,0,0
BP17PAA3,01/11/2016,08:00:00,10:00:00,0,0,0,0
BP17PAA3,01/11/2016,10:00:00,12:00:00,0,0,0,0
BP17PAA3,01/11/2016,12:00:00,14:00:00,0,0,0,0
BP17PAA3,01/11/2016,14:00:00,16:00:00,0,0,0,0
BP17PAA3,01/11/2016,16:00:00,18:00:00,0,0,0,0
BP17PAA3,01/11/2016,18:00:00,20:00:00,0,0,0,0
BP17PAA3,01/11/2016,20:00:00,22:00:00,0,0,0,0
BP17PAA7,01/11/2016,06:00:00,08:00:00,0,0,0,0
BP17PAA7,01/11/2016,08:00:00,10:00:00,0,0,0,0
BP17PAA7,01/11/2016,10:00:00,12:00:00,0,0,0,0
BP17PAA7,01/11/2016,12:00:00,14:00:00,0,0,0,0
BP17PAA7,01/11/2016,14:00:00,16:00:00,0,0,0,0
BP17PAA7,01/11/2016,16:00:00,18:00:00,0,0,0,0
BP17PAA7,01/11/2016,18:00:00,20:00:00,0,0,0,0
BP17PAA7,01/11/2016,20:00:00,22:00:00,0,0,0,0
BP18PAAD,01/11/2016,06:00:00,08:00:00,0,0,0,0
BP18PAAD,01/11/2016,08:00:00,10:00:00,0,0,0,0
BP18PAAD,01/11/2016,10:00:00,12:00:00,0,0,0,0
BP18PAAD,01/11/2016,12:00:00,14:00:00,0,0,0,0
BP18PAAD,01/11/2016,14:00:00,16:00:00,0,0,0,0
BP18PAAD,01/11/2016,16:00:00,18:00:00,0,0,0,0
BP18PAAD,01/11/2016,18:00:00,20:00:00,0,0,0,0
BP18PAAD,01/11/2016,20:00:00,22:00:00,0,0,0,0
BP18PAAH,01/11/2016,06:00:00,08:00:00,0,0,0,0
BP18PAAH,01/11/2016,08:00:00,10:00:00,0,0,0,0
BP18PAAH,01/11/2016,10:00:00,12:00:00,0,4,2,0
BP18PAAH,01/11/2016,12:00:00,14:00:00,0,0,0,0
BP18PAAH,01/11/2016,14:00:00,16:00:00,0,0,0,0
BP18PAAH,01/11/2016,16:00:00,18:00:00,0,0,0,0
BP18PAAH,01/11/2016,18:00:00,20:00:00,0,0,0,0
BP18PAAH,01/11/2016,20:00:00,22:00:00,0,0,0,0
BP18PAA4,01/11/2016,06:00:00,08:00:00,0,0,0,0
BP18PAA4,01/11/2016,08:00:00,10:00:00,0,0,0,0
BP18PAA4,01/11/2016,10:00:00,12:00:00,0,0,0,0
BP18PAA4,01/11/2016,12:00:00,14:00:00,0,0,0,0
BP18PAA4,01/11/2016,14:00:00,16:00:00,0,0,0,0
BP18PAA4,01/11/2016,16:00:00,18:00:00,0,0,0,0
BP18PAA4,01/11/2016,18:00:00,20:00:00,0,0,0,0
BP18PAA4,01/11/2016,20:00:00,22:00:00,0,0,0,0
BP18PAA8,01/11/2016,06:00:00,08:00:00,0,0,0,0
BP18PAA8,01/11/2016,08:00:00,10:00:00,0,0,0,0
BP18PAA8,01/11/2016,10:00:00,12:00:00,0,0,0,0
BP18PAA8,01/11/2016,12:00:00,14:00:00,0,0,0,0
BP18PAA8,01/11/2016,14:00:00,16:00:00,0,0,0,0
BP18PAA8,01/11/2016,16:00:00,18:00:00,0,0,0,0
BP18PAA8,01/11/2016,18:00:00,20:00:00,0,0,0,0
BP18PAA8,01/11/2016,20:00:00,22:00:00,0,0,0,0
