Applid,Date,ResTime,ColTime,DB2Conn,TCBLimit,PkConnWithTCB,PkConnReadyq,PoolPriority,PkPoolTasks,PkPoolReadyq,PkCmdThreads,DB2TCBRatio%
CINAKAA1,04/19/2017,10:00:00,11:00:00,EPCCN,200,10,0,EQUAL,0,0,0,5.0
CINAKAA2,04/19/2017,10:00:00,11:00:00,EPCCN,200,12,0,EQUAL,0,0,0,6.0
CINAKAA3,04/19/2017,10:00:00,11:00:00,EPCCN,200,8,0,EQUAL,0,0,0,4.0
CINAKAA4,04/19/2017,10:00:00,11:00:00,EPCCN,200,8,0,EQUAL,0,0,0,4.0
CINAKAA5,04/19/2017,10:00:00,11:00:00,EPCCN,200,10,0,EQUAL,0,0,0,5.0
CINAKAA6,04/19/2017,10:00:00,11:00:00,EPCCN,200,11,0,EQUAL,0,0,0,5.5
CINAKAA7,04/19/2017,10:00:00,11:00:00,EPCCN,200,11,0,EQUAL,0,0,0,5.5
CINAKAA8,04/19/2017,10:00:00,11:00:00,EPCCN,200,11,0,EQUAL,0,0,0,5.5
