Applid,Date,ResTime,ColTime,STGPROT,TRANISO,REENTPG,DSALIM,PeakDSA,EDSALIM,PeakEDSA,MEMLIMIT,CDSASize,UDSASize,SDSASize,RDSASize,ECDSASize,EUDSASize,ESDSASize,ERDSASize,ETDSASize,DSARatio%,EDSARatio%,CDSAHWM,UDSAHWM,SDSAHWM,RDSAHWM,DSASOSTms,DSASTGVIOLTms,ECDSAHWM,EUDSAHWM,ESDSAHWM,ERDSAHWM,ETDSAHWM,EDSASOSTms,EDSASTGVIOLTms,CDSAFragRatio%, UDSAFragRatio%, SDSAFragRatio%, RDSAFragRatio%, ECDSAFragRatio%, EUDSAFragRatio%, ESDSAFragRatio%, ERDSAFragRatio%, DSAHWMRatio%, EDSAHWMRatio%,GDSASOSTms, GDSASTGVIOLTms
CINAKAA1,04/18/2017,10:00:00,11:00:00,ACTIVE,INACTIVE,PROTECT,5120K,1536K,1100M,386M,4096M,768K,256K,256K,256K,44M,90M,2M,249M,1M,30.00,35.09,420K,4K,12K,236K,0,0,41M,17M,1M,248M,0,0,0,0.72,1.00,1.00,1.00,0.37,0.01,0.98,0.24,13.12,28.04,0,0
CINAKAA2,04/18/2017,10:00:00,11:00:00,ACTIVE,INACTIVE,PROTECT,5120K,1536K,1100M,375M,4096M,768K,256K,256K,256K,43M,84M,2M,245M,1M,30.00,34.09,420K,4K,12K,236K,0,0,41M,17M,1M,243M,0,0,0,0.72,1.00,1.00,1.00,0.28,0.01,0.98,0.58,13.12,27.64,0,0
CINAKAA3,04/18/2017,10:00:00,11:00:00,ACTIVE,INACTIVE,PROTECT,5120K,1536K,1100M,396M,4096M,768K,256K,256K,256K,44M,105M,2M,244M,1M,30.00,36.00,424K,4K,12K,236K,0,0,41M,17M,1M,242M,0,0,0,0.72,1.00,1.00,1.00,0.37,0.01,0.98,0.46,13.20,27.63,0,0
CINAKAA4,04/18/2017,10:00:00,11:00:00,ACTIVE,INACTIVE,PROTECT,5120K,1536K,1100M,403M,4096M,768K,256K,256K,256K,44M,110M,2M,246M,1M,30.00,36.64,420K,4K,12K,236K,0,0,41M,16M,1M,244M,0,0,0,0.72,1.00,1.00,1.00,0.22,0.01,0.98,0.46,13.12,27.71,0,0
CINAKAA5,04/18/2017,10:00:00,11:00:00,ACTIVE,INACTIVE,PROTECT,5120K,1792K,1100M,378M,4096M,1024K,256K,256K,256K,44M,89M,2M,242M,1M,35.00,34.36,420K,4K,12K,236K,0,0,41M,18M,1M,240M,0,0,0,0.42,1.00,1.00,1.00,0.37,0.01,0.98,0.57,13.12,27.45,0,0
CINAKAA6,04/18/2017,10:00:00,11:00:00,ACTIVE,INACTIVE,PROTECT,5120K,1536K,1100M,371M,4096M,768K,256K,256K,256K,43M,85M,2M,240M,1M,30.00,33.73,420K,4K,12K,236K,0,0,41M,18M,1M,238M,0,0,0,0.72,1.00,1.00,1.00,0.28,0.01,0.98,0.58,13.12,27.24,0,0
CINAKAA7,04/18/2017,10:00:00,11:00:00,ACTIVE,INACTIVE,PROTECT,5120K,1536K,1100M,363M,4096M,768K,256K,256K,256K,43M,76M,2M,241M,1M,30.00,33.00,420K,4K,12K,236K,0,0,41M,17M,1M,240M,0,0,0,0.72,1.00,1.00,1.00,0.35,0.01,0.98,0.13,13.12,27.38,0,0
CINAKAA8,04/18/2017,10:00:00,11:00:00,ACTIVE,INACTIVE,PROTECT,5120K,1536K,1100M,358M,4096M,768K,256K,256K,256K,43M,71M,2M,241M,1M,30.00,32.55,420K,4K,12K,236K,0,0,41M,17M,1M,239M,0,0,0,0.72,1.00,1.00,1.00,0.40,0.02,0.98,0.51,13.12,27.28,0,0
