Applid,Date,ResTime,ColTime,ENQPoolName,ENQIssd,ENQWtd,ENQWTT,ENQSysWtd,ENQSysWtT,ENQRtnd,ENQRtnT,ImmRejEqBsy,ImmRejEqRtn,WtRejRtn,WtRejOp,WtRejTo,ENQBusyRatio%,ENQWttRatio%,ENQRetRatio%,ENQImmRetRatio%,ENQImmSuccessRatio%
AP16POA4,01/11/2016,20:00:00,22:00:00,*TOTALS*,3872,0,00:00:00.000,0,00:00:00.000,0,000-00:00:00,0,0,0,0,0,0.0,0.0,0.0,0.0,100.0
BP15PAAA,01/11/2016,06:00:00,08:00:00,*TOTALS*,2756,4,00:00:00.022,0,00:00:00.000,0,000-00:00:00,0,0,0,0,0,0.0,0.15,0.0,0.0,99.85
BP15PAAA,01/11/2016,08:00:00,10:00:00,*TOTALS*,17445,104,00:00:00.622,0,00:00:00.000,0,000-00:00:00,0,0,0,0,0,0.0,0.6,0.0,0.0,99.4
BP15PAAA,01/11/2016,10:00:00,12:00:00,*TOTALS*,28738,269,00:00:04.493,0,00:00:00.000,0,000-00:00:00,0,0,0,0,0,0.0,0.94,0.0,0.0,99.06
BP15PAAA,01/11/2016,12:00:00,14:00:00,*TOTALS*,24708,237,00:00:01.388,0,00:00:00.000,0,000-00:00:00,0,0,0,0,0,0.0,0.96,0.0,0.0,99.04
BP15PAAA,01/11/2016,14:00:00,16:00:00,*TOTALS*,27405,253,00:00:01.421,0,00:00:00.000,0,000-00:00:00,0,0,0,0,0,0.0,0.92,0.0,0.0,99.08
BP15PAAA,01/11/2016,16:00:00,18:00:00,*TOTALS*,28486,186,00:00:01.120,0,00:00:00.000,0,000-00:00:00,0,0,0,0,0,0.0,0.65,0.0,0.0,99.35
BP15PAAA,01/11/2016,18:00:00,20:00:00,*TOTALS*,18433,96,00:00:00.521,0,00:00:00.000,0,000-00:00:00,0,0,0,0,0,0.0,0.52,0.0,0.0,99.48
BP15PAAA,01/11/2016,20:00:00,22:00:00,*TOTALS*,16156,79,00:00:01.304,0,00:00:00.000,0,000-00:00:00,0,0,0,0,0,0.0,0.49,0.0,0.0,99.51
BP15PAAE,01/11/2016,06:00:00,08:00:00,*TOTALS*,2752,1,00:00:00.006,0,00:00:00.000,0,000-00:00:00,0,0,0,0,0,0.0,0.04,0.0,0.0,99.96
BP15PAAE,01/11/2016,08:00:00,10:00:00,*TOTALS*,17540,118,00:00:04.108,0,00:00:00.000,0,000-00:00:00,0,0,0,0,0,0.0,0.67,0.0,0.0,99.33
BP15PAAE,01/11/2016,10:00:00,12:00:00,*TOTALS*,28881,297,00:00:01.686,0,00:00:00.000,0,000-00:00:00,0,0,0,0,0,0.0,1.03,0.0,0.0,98.97
BP15PAAE,01/11/2016,12:00:00,14:00:00,*TOTALS*,24258,219,00:00:01.295,0,00:00:00.000,0,000-00:00:00,0,0,0,0,0,0.0,0.9,0.0,0.0,99.1
BP15PAAE,01/11/2016,14:00:00,16:00:00,*TOTALS*,27282,253,00:00:01.468,0,00:00:00.000,0,000-00:00:00,0,0,0,0,0,0.0,0.93,0.0,0.0,99.07
BP15PAAE,01/11/2016,16:00:00,18:00:00,*TOTALS*,28689,187,00:00:00.947,0,00:00:00.000,0,000-00:00:00,0,0,0,0,0,0.0,0.65,0.0,0.0,99.35
BP15PAAE,01/11/2016,18:00:00,20:00:00,*TOTALS*,18957,99,00:00:00.497,0,00:00:00.000,0,000-00:00:00,0,0,0,0,0,0.0,0.52,0.0,0.0,99.48
