Applid,Date,ResTime,ColTime,DFHLOG,DASDOnly,AKPFREQ,AKPTaken,LGDFINT,WriteReq,ByteWritten,BufAppend,WaitFullBuf,PkForceWts,RetryError,ShuntWriteRequest
BP15PAAE,01/11/2016,12:00:00,14:00:00,CICS.BP15PAAE.DFHLOG,Yes,4000,37,5,52885,49305312,148235,0,2,0,0
BP15PAAE,01/11/2016,14:00:00,16:00:00,CICS.BP15PAAE.DFHLOG,Yes,4000,40,5,57200,52567377,157654,0,2,0,0
BP15PAAE,01/11/2016,16:00:00,18:00:00,CICS.BP15PAAE.DFHLOG,Yes,4000,35,5,53150,47245187,142574,0,2,0,0
BP15PAAE,01/11/2016,18:00:00,20:00:00,CICS.BP15PAAE.DFHLOG,Yes,4000,25,5,36239,31400767,97671,0,2,0,0
BP15PAAE,01/11/2016,20:00:00,22:00:00,CICS.BP15PAAE.DFHLOG,Yes,4000,19,5,28071,25406646,78855,0,2,0,0
BP15PAA1,01/11/2016,06:00:00,08:00:00,CICS.BP15PAA1.DFHLOG,Yes,4000,3,5,4180,3483583,10731,0,1,0,0
BP15PAA1,01/11/2016,08:00:00,10:00:00,CICS.BP15PAA1.DFHLOG,Yes,4000,24,5,36790,31912571,96837,0,1,0,0
BP15PAA1,01/11/2016,10:00:00,12:00:00,CICS.BP15PAA1.DFHLOG,Yes,4000,43,5,61417,56396399,170286,0,1,0,0
BP15PAA1,01/11/2016,12:00:00,14:00:00,CICS.BP15PAA1.DFHLOG,Yes,4000,37,5,53567,50116492,150550,0,2,0,0
BP15PAA1,01/11/2016,14:00:00,16:00:00,CICS.BP15PAA1.DFHLOG,Yes,4000,40,5,57131,52764895,158085,0,1,0,0
BP15PAA1,01/11/2016,16:00:00,18:00:00,CICS.BP15PAA1.DFHLOG,Yes,4000,35,5,53125,47431421,142961,0,2,0,0
BP15PAA1,01/11/2016,18:00:00,20:00:00,CICS.BP15PAA1.DFHLOG,Yes,4000,25,5,35873,31169279,97262,0,1,0,0
BP15PAA1,01/11/2016,20:00:00,22:00:00,CICS.BP15PAA1.DFHLOG,Yes,4000,20,5,28757,25928945,80429,0,1,0,0
BP15PAA5,01/11/2016,06:00:00,08:00:00,CICS.BP15PAA5.DFHLOG,Yes,4000,3,5,4105,3374590,10410,0,1,0,0
BP15PAA5,01/11/2016,08:00:00,10:00:00,CICS.BP15PAA5.DFHLOG,Yes,4000,24,5,36233,31569408,96005,0,1,0,0
BP15PAA5,01/11/2016,10:00:00,12:00:00,CICS.BP15PAA5.DFHLOG,Yes,4000,43,5,61948,55917260,170424,0,2,0,0
BP15PAA5,01/11/2016,12:00:00,14:00:00,CICS.BP15PAA5.DFHLOG,Yes,4000,36,5,52278,48115323,145804,0,1,0,0
BP15PAA5,01/11/2016,14:00:00,16:00:00,CICS.BP15PAA5.DFHLOG,Yes,4000,39,5,57331,52700314,157649,0,2,0,0
BP15PAA5,01/11/2016,16:00:00,18:00:00,CICS.BP15PAA5.DFHLOG,Yes,4000,36,5,52523,46642526,141201,0,1,0,0
BP15PAA5,01/11/2016,18:00:00,20:00:00,CICS.BP15PAA5.DFHLOG,Yes,4000,24,5,36189,31642292,98172,0,2,0,0
BP15PAA5,01/11/2016,20:00:00,22:00:00,CICS.BP15PAA5.DFHLOG,Yes,4000,20,5,28155,25207567,78386,0,1,0,0
BP16PAAB,01/11/2016,06:00:00,08:00:00,CICS.BP16PAAB.DFHLOG,Yes,4000,2,5,4275,3486718,10833,0,1,0,0
BP16PAAB,01/11/2016,08:00:00,10:00:00,CICS.BP16PAAB.DFHLOG,Yes,4000,24,5,36625,31791726,96265,0,2,0,0
BP16PAAB,01/11/2016,10:00:00,12:00:00,CICS.BP16PAAB.DFHLOG,Yes,4000,43,5,61234,55770698,168977,0,1,0,0
BP16PAAB,01/11/2016,12:00:00,14:00:00,CICS.BP16PAAB.DFHLOG,Yes,4000,37,5,53184,48910313,148645,0,2,0,0
BP16PAAB,01/11/2016,14:00:00,16:00:00,CICS.BP16PAAB.DFHLOG,Yes,4000,39,5,57209,52748992,157440,0,2,0,0
BP16PAAB,01/11/2016,16:00:00,18:00:00,CICS.BP16PAAB.DFHLOG,Yes,4000,36,5,53271,47855000,143768,0,2,0,0
BP16PAAB,01/11/2016,18:00:00,20:00:00,CICS.BP16PAAB.DFHLOG,Yes,4000,25,5,36844,31989736,99545,0,1,0,0
BP16PAAB,01/11/2016,20:00:00,22:00:00,CICS.BP16PAAB.DFHLOG,Yes,4000,20,5,28307,25662856,79489,0,1,0,0
BP16PAAF,01/11/2016,06:00:00,08:00:00,CICS.BP16PAAF.DFHLOG,Yes,4000,3,5,4135,3571522,10763,0,1,0,0
BP16PAAF,01/11/2016,08:00:00,10:00:00,CICS.BP16PAAF.DFHLOG,Yes,4000,24,5,36108,30845597,94610,0,1,0,0
BP16PAAF,01/11/2016,10:00:00,12:00:00,CICS.BP16PAAF.DFHLOG,Yes,4000,42,5,62097,56533213,171239,0,2,0,0
