Applid,Date,ResTime,ColTime,STGPROT,TRANISO,REENTPG,DSALIM,PeakDSA,EDSALIM,PeakEDSA,MEMLIMIT,CDSASize,UDSASize,SDSASize,RDSASize,ECDSASize,EUDSASize,ESDSASize,ERDSASize,ETDSASize,DSARatio%,EDSARatio%,CDSAHWM,UDSAHWM,SDSAHWM,RDSAHWM,DSASOSTms,DSASTGVIOLTms,ECDSAHWM,EUDSAHWM,ESDSAHWM,ERDSAHWM,ETDSAHWM,EDSASOSTms,EDSASTGVIOLTms,CDSAFragRatio%, UDSAFragRatio%, SDSAFragRatio%, RDSAFragRatio%, ECDSAFragRatio%, EUDSAFragRatio%, ESDSAFragRatio%, ERDSAFragRatio%, DSAHWMRatio%, EDSAHWMRatio%,GDSASOSTms, GDSASTGVIOLTms
CINAKAA1,04/19/2017,10:00:00,11:00:00,ACTIVE,INACTIVE,PROTECT,5120K,1536K,1100M,390M,4096M,768K,256K,256K,256K,44M,90M,2M,253M,1M,30.00,35.45,424K,4K,12K,236K,0,0,41M,17M,1M,251M,0,0,0,0.72,1.00,1.00,1.00,0.40,0.01,0.98,0.46,13.20,28.42,0,0
CINAKAA2,04/19/2017,10:00:00,11:00:00,ACTIVE,INACTIVE,PROTECT,5120K,1536K,1100M,377M,4096M,768K,256K,256K,256K,43M,84M,2M,247M,1M,30.00,34.27,424K,4K,12K,236K,0,0,41M,19M,1M,246M,0,0,0,0.72,1.00,1.00,1.00,0.28,0.01,0.98,0.03,13.20,28.14,0,0
CINAKAA3,04/19/2017,10:00:00,11:00:00,ACTIVE,INACTIVE,PROTECT,5120K,1536K,1100M,399M,4096M,768K,256K,256K,256K,44M,105M,2M,247M,1M,30.00,36.27,420K,4K,12K,236K,0,0,41M,16M,1M,245M,0,0,0,0.72,1.00,1.00,1.00,0.38,0.01,0.98,0.60,13.12,27.76,0,0
CINAKAA4,04/19/2017,10:00:00,11:00:00,ACTIVE,INACTIVE,PROTECT,5120K,1536K,1100M,405M,4096M,768K,256K,256K,256K,44M,110M,2M,248M,1M,30.00,36.82,428K,4K,12K,236K,0,0,41M,17M,1M,247M,0,0,0,0.72,1.00,1.00,1.00,0.23,0.01,0.98,0.06,13.28,28.03,0,0
CINAKAA5,04/19/2017,10:00:00,11:00:00,ACTIVE,INACTIVE,PROTECT,5120K,1792K,1100M,382M,4096M,1024K,256K,256K,256K,44M,89M,2M,246M,1M,35.00,34.73,420K,4K,12K,236K,0,0,41M,20M,1M,245M,0,0,0,0.42,1.00,1.00,1.00,0.40,0.01,0.98,0.01,13.12,28.09,0,0
CINAKAA6,04/19/2017,10:00:00,11:00:00,ACTIVE,INACTIVE,PROTECT,5120K,1536K,1100M,374M,4096M,768K,256K,256K,256K,43M,85M,2M,243M,1M,30.00,34.00,420K,4K,12K,236K,0,0,41M,21M,1M,242M,0,0,0,0.72,1.00,1.00,1.00,0.28,0.01,0.98,0.38,13.12,27.88,0,0
CINAKAA7,04/19/2017,10:00:00,11:00:00,ACTIVE,INACTIVE,PROTECT,5120K,1536K,1100M,366M,4096M,768K,256K,256K,256K,43M,76M,2M,244M,1M,30.00,33.27,424K,4K,12K,236K,0,0,41M,17M,1M,242M,0,0,0,0.72,1.00,1.00,1.00,0.38,0.01,0.98,0.42,13.20,27.61,0,0
CINAKAA8,04/19/2017,10:00:00,11:00:00,ACTIVE,INACTIVE,PROTECT,5120K,1536K,1100M,361M,4096M,768K,256K,256K,256K,43M,71M,2M,244M,1M,30.00,32.82,420K,4K,12K,236K,0,0,41M,19M,1M,243M,0,0,0,0.72,1.00,1.00,1.00,0.45,0.02,0.98,0.27,13.12,27.79,0,0
