Applid,Date,ResTime,ColTime,TotTran,MXT,MXTTimeRch,PkQued,PkActv,TotlActUsr,TotlDly,MXTRatio%
CINAKAA1,04/18/2017,10:00:00,11:00:00,73958,400,0,0,21,73847,0,5.25
CINAKAA2,04/18/2017,10:00:00,11:00:00,74315,400,0,0,23,74188,0,5.75
CINAKAA3,04/18/2017,10:00:00,11:00:00,74255,400,0,0,21,74113,0,5.25
CINAKAA4,04/18/2017,10:00:00,11:00:00,74431,400,0,0,22,74307,0,5.50
CINAKAA5,04/18/2017,10:00:00,11:00:00,74404,400,0,0,22,74287,0,5.50
CINAKAA6,04/18/2017,10:00:00,11:00:00,73901,400,0,0,23,73764,0,5.75
CINAKAA7,04/18/2017,10:00:00,11:00:00,73476,400,0,0,23,73364,0,5.75
CINAKAA8,04/18/2017,10:00:00,11:00:00,74276,400,0,0,22,74142,0,5.50
