Applid,Date,ResTime,ColTime,DB2Conn,TCBLimit,PkConnWithTCB,PkConnReadyq,PoolPriority,PkPoolTasks,PkPoolReadyq,PkCmdThreads,DB2TCBRatio%
CINAKAA1,04/18/2017,10:00:00,11:00:00,EPCCN,200,7,0,EQUAL,0,0,0,3.5
CINAKAA2,04/18/2017,10:00:00,11:00:00,EPCCN,200,9,0,EQUAL,0,0,0,4.5
CINAKAA3,04/18/2017,10:00:00,11:00:00,EPCCN,200,7,0,EQUAL,0,0,0,3.5
CINAKAA4,04/18/2017,10:00:00,11:00:00,EPCCN,200,8,0,EQUAL,0,0,0,4.0
CINAKAA5,04/18/2017,10:00:00,11:00:00,EPCCN,200,8,0,EQUAL,0,0,0,4.0
CINAKAA6,04/18/2017,10:00:00,11:00:00,EPCCN,200,9,0,EQUAL,0,0,0,4.5
CINAKAA7,04/18/2017,10:00:00,11:00:00,EPCCN,200,9,0,EQUAL,0,0,0,4.5
CINAKAA8,04/18/2017,10:00:00,11:00:00,EPCCN,200,8,0,EQUAL,0,0,0,4.0
