Applid,Date,ResTime,ColTime,TotTran,MXT,MXTTimeRch,PkQued,PkActv,TotlActUsr,TotlDly,MXTRatio%
CINAKAA1,04/19/2017,10:00:00,11:00:00,71687,400,0,0,24,71569,0,6.00
CINAKAA2,04/19/2017,10:00:00,11:00:00,71214,400,0,0,26,71103,0,6.50
CINAKAA3,04/19/2017,10:00:00,11:00:00,71571,400,0,0,23,71446,0,5.75
CINAKAA4,04/19/2017,10:00:00,11:00:00,71188,400,0,0,22,71073,0,5.50
CINAKAA5,04/19/2017,10:00:00,11:00:00,71863,400,0,0,24,71741,0,6.00
CINAKAA6,04/19/2017,10:00:00,11:00:00,71560,400,0,0,25,71436,0,6.25
CINAKAA7,04/19/2017,10:00:00,11:00:00,71406,400,0,0,25,71278,0,6.25
CINAKAA8,04/19/2017,10:00:00,11:00:00,71366,400,0,0,25,71248,0,6.25
