Applid,Date,ResTime,ColTime,ASCPU,ASSRB,ICV,ICVR,QRCPU,QRDsp,QRCPUUtilRatio%,QRDispUtilRatio%,QRDispRatio%,L8CPU,L8Dsp,L8CPUUtilRatio%,L8DispUtilRatio%,L8DispRatio%,ASTCBUtilRatio%,ASSRBCPUUtilRatio%,CPUPerUsrTran,PkOpTCB,MAXOpTCB,OpTCBRatio%,TimesAtMAXOpTCB
CINAKAA1,04/19/2017,10:00:00,11:00:00,00:06:06.556763,00:00:06.253734,100,15000,00:01:08.384075,00:01:18.907488,1.90,2.19,86.66,00:04:54.575097,00:26:39.545513,8.18,44.43,18.42,10.18,0.17,0.005209,15,350,4.29,0
CINAKAA2,04/19/2017,10:00:00,11:00:00,00:06:04.944934,00:00:06.257821,100,15000,00:01:07.700690,00:01:18.287589,1.88,2.17,86.48,00:04:53.682604,00:28:32.085123,8.16,47.56,17.15,10.14,0.17,0.005221,16,350,4.57,0
CINAKAA3,04/19/2017,10:00:00,11:00:00,00:06:06.519743,00:00:06.214254,100,15000,00:01:08.639111,00:01:19.372568,1.91,2.20,86.48,00:04:54.399621,00:24:47.095361,8.18,41.31,19.80,10.18,0.17,0.005217,13,350,3.71,0
CINAKAA4,04/19/2017,10:00:00,11:00:00,00:06:03.689925,00:00:06.131924,100,15000,00:01:08.302234,00:01:18.989374,1.90,2.19,86.47,00:04:51.640478,00:23:50.264344,8.10,39.73,20.39,10.10,0.17,0.005203,14,350,4.00,0
CINAKAA5,04/19/2017,10:00:00,11:00:00,00:06:06.531644,00:00:06.204225,100,15000,00:01:08.170752,00:01:18.929101,1.89,2.19,86.37,00:04:54.805773,00:23:14.465516,8.19,38.74,21.14,10.18,0.17,0.005196,14,350,4.00,0
CINAKAA6,04/19/2017,10:00:00,11:00:00,00:06:05.264668,00:00:06.189824,100,15000,00:01:08.019201,00:01:18.712503,1.89,2.19,86.41,00:04:53.557461,00:25:06.648123,8.15,41.85,19.48,10.15,0.17,0.005200,15,350,4.29,0
CINAKAA7,04/19/2017,10:00:00,11:00:00,00:06:04.136943,00:00:06.218878,100,15000,00:01:07.902234,00:01:18.704043,1.89,2.19,86.28,00:04:52.628445,00:25:00.564736,8.13,41.68,19.50,10.11,0.17,0.005196,16,350,4.57,0
CINAKAA8,04/19/2017,10:00:00,11:00:00,00:06:04.081266,00:00:06.145678,100,15000,00:01:08.492307,00:01:19.375402,1.90,2.20,86.29,00:04:52.150897,00:23:21.595936,8.12,38.93,20.84,10.11,0.17,0.005196,16,350,4.57,0
